Stname  observed          L95PPU          U95PPU        Best_Sim
FLOW_OUT_3     60.840000       1.880672        195.216492      3.131000       
FLOW_OUT_3     13.460000       0.046686        30.392397       0.000000       
FLOW_OUT_3     1.590000        0.000000        0.000000        0.000000       
FLOW_OUT_3     2.690000        0.033529        21.827099       0.000000       
FLOW_OUT_3     4.980000        0.077271        50.303703       0.000000       
FLOW_OUT_3     2.630000        0.000000        0.000000        0.000000       
FLOW_OUT_3     6.330000        0.060000        39.060001       0.000000       
FLOW_OUT_3     19.650000       0.551000        307.458008      0.000000       
FLOW_OUT_3     26.809999       2.173650        113.848892      6.183000       
FLOW_OUT_3     29.209999       2.414180        132.568222      4.927000       
FLOW_OUT_3     32.029999       42.114700       261.507111      64.739998      
FLOW_OUT_3     111.699997      40.176147       869.787659      57.520000      
FLOW_OUT_3     127.099998      19.782320       271.418793      25.139999      
FLOW_OUT_3     23.690001       0.075375        28.039495       9.409000       
FLOW_OUT_3     2.260000        0.003607        2.012520        2.164000       
FLOW_OUT_3     0.550000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.270000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.220000        0.043486        28.309202       0.000000       
FLOW_OUT_3     0.770000        0.086514        56.320801       0.071900       
FLOW_OUT_3     10.320000       0.336167        187.580994      1.247000       
FLOW_OUT_3     25.840000       0.690604        318.711334      2.753000       
FLOW_OUT_3     30.219999       1.646360        42.042953       5.260000       
FLOW_OUT_3     39.669998       10.848750       198.280853      27.309999      
FLOW_OUT_3     70.370003       0.304833        170.096985      0.111000       
FLOW_OUT_3     47.970001       0.193000        107.694008      0.000000       
FLOW_OUT_3     13.910000       0.108357        70.540497       0.000000       
FLOW_OUT_3     0.350000        0.001733        1.128090        0.000000       
FLOW_OUT_3     0.250000        0.052429        34.130997       0.000000       
FLOW_OUT_3     0.200000        0.000000        0.000000        0.000000       
FLOW_OUT_3     0.190000        0.000163        0.106206        0.000000       
FLOW_OUT_7     2.080000        0.310400        144.335983      2.603000       
FLOW_OUT_7     12.510000       3.860050        40.204651       8.903000       
FLOW_OUT_7     22.180000       0.223815        23.675297       2.548000       
FLOW_OUT_7     44.610001       71.072647       534.062866      93.089996      
FLOW_OUT_7     35.090000       45.171764       629.462891      65.449997      
FLOW_OUT_7     53.520000       68.049477       379.494781      73.739998      
FLOW_OUT_7     85.519997       32.456665       131.609985      46.020000      
FLOW_OUT_7     373.470001      9.689771        45.537220       25.500000      
FLOW_OUT_7     306.000000      0.022050        12.303900       13.230000      
FLOW_OUT_7     113.190002      0.013068        7.292130        7.841000       
FLOW_OUT_7     23.120001       0.011436        5.317740        5.718000       
FLOW_OUT_7     5.820000        0.266833        148.893005      6.190000       
FLOW_OUT_7     20.209999       14.954600       213.755630      27.440001      
FLOW_OUT_7     28.910000       4.834444        216.624496      8.579000       
FLOW_OUT_7     37.340000       30.120998       83.414322       43.959999      
FLOW_OUT_7     50.110001       119.232994      513.838013      159.100006     
