 FLOW_OUT_1
observed       L95PPU         U95PPU         Best_Sim       M95PPU
105.970001      37.264252       309.623993      115.400002      127.926674     
353.000000      9.809795        164.431717      86.639999       89.365578      
175.979996      0.417650        78.727028       63.080002       52.712666      
27.830000       0.365500        68.896759       56.330002       47.146912      
24.930000       0.338400        63.788406       52.860001       44.930939      
3.530000        0.474750        59.818501       50.259998       43.367249      
8.890000        0.872700        55.021660       46.950001       42.361835      
30.360001       0.405675        51.153687       43.150002       38.250664      
37.720001       0.756600        47.665791       39.020000       38.013332      
40.000000       11.652010       179.741272      50.740002       63.109669      
43.650002       31.352652       155.799210      68.959999       68.893333      
42.340000       95.706474       549.370361      168.800003      189.431686     
52.340000       1.361224        67.494011       50.610001       50.859589      
139.320007      0.416025        52.280476       40.230000       36.759083      
74.980003       0.237800        44.896645       34.340000       31.130259      
18.090000       0.208350        39.378147       29.860001       27.502853      
8.580000        0.197150        37.261353       28.450001       26.143919      
0.320000        0.597150        37.620453       28.200001       26.729082      
2.390000        0.585300        36.776352       27.010000       26.003584      
8.920000        0.555750        34.827003       24.830000       23.802582      
34.740002       0.517800        32.276199       22.330000       23.390665      
33.070000       6.401120        81.161354       30.830000       36.441833      
34.290001       0.871950        53.479599       17.900000       23.799166      
55.840000       2.569680        210.671326      19.469999       42.099335      
198.839996      0.494625        60.674004       8.366000        16.214834      
308.329987      0.052800        13.164801       3.467000        5.744958       
125.529999      0.079100        14.554399       1.255000        5.770167       
38.580002       0.029976        9.342520        0.055700        3.015978       
5.960000        0.045975        11.463099       2.282000        4.528417       
4.310000        0.067700        12.659901       4.022000        6.228951       
5.180000        0.247875        121.624008      6.284000        20.623083      
15.410000       0.356850        43.773598       6.462000        12.263751      
23.180000       1.178225        28.522799       8.394000        12.284416      
25.400000       47.281532       448.516815      178.600006      170.132492     
30.809999       138.326492      735.251892      254.100006      276.058319     
32.810001       3.322995        97.201355       32.529999       40.746418      
35.470001       1.200020        72.515831       28.540001       36.756500      
33.680000       0.201150        37.816196       20.290001       22.575666      
10.440000       0.171850        32.135952       16.590000       18.895834      
0.750000        0.150500        28.294001       14.440000       16.746208      
