.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0.7	0.0085938272	-0.20825359	0.46055948	-0.35256385	5.9807786	0.19629619	-0.23090326	0.18476	1.3888744	0.39844667
q_0.705	0.0087106587	-0.20801871	0.46060511	-0.35160513	5.980907	0.19643926	-0.23088351	0.18476283	1.3902861	0.3988506
q_0.71	0.0087785342	-0.20766431	0.4610283	-0.35105391	5.9820423	0.19664307	-0.23086911	0.18482589	1.3916475	0.39916344
q_0.715	0.0088118027	-0.2072254	0.46171837	-0.35079076	5.9838893	0.19688982	-0.23085848	0.18493152	1.3929735	0.39941189
q_0.72	0.0090166515	-0.20701782	0.4620412	-0.34888895	5.9856602	0.1969995	-0.23085387	0.18502641	1.3944089	0.39974551
q_0.725	0.0093532494	-0.20698784	0.46208203	-0.34572888	5.9873726	0.19700393	-0.23085387	0.18511305	1.3959283	0.40014452
q_0.73	0.0095618118	-0.2068362	0.46213948	-0.34425128	5.9894984	0.19717977	-0.23083323	0.18517655	1.3985694	0.40032589
q_0.735	0.0096636779	-0.20658317	0.46221079	-0.34417574	5.9919687	0.19749843	-0.23079539	0.18522076	1.4021453	0.40032589
q_0.74	0.009804463	-0.20641988	0.46227559	-0.34264561	5.9947345	0.19774722	-0.23077743	0.18524175	1.4048715	0.40042888
q_0.745	0.0099804248	-0.2063377	0.46233451	-0.33980076	5.9977675	0.19793284	-0.23077743	0.18524175	1.4068297	0.40062495
q_0.75	0.0100909	-0.20603026	0.46257928	-0.33714455	5.9997872	0.19802873	-0.23073741	0.18547897	1.4085366	0.40102267
q_0.755	0.0101372	-0.20550206	0.4630062	-0.33467319	6.000814	0.1980367	-0.23065818	0.18594866	1.4099973	0.40161803
q_0.76	0.010452078	-0.20509669	0.46349102	-0.33313528	6.0033714	0.19805636	-0.23055448	0.18624412	1.4156559	0.40192473
q_0.765	0.01105232	-0.20482184	0.46403739	-0.33258914	6.0075549	0.19808845	-0.23042479	0.18635445	1.4257747	0.40192473
q_0.77	0.011469949	-0.2045845	0.46443155	-0.33191971	6.0122549	0.19812015	-0.23027084	0.18662025	1.4313966	0.4021944
q_0.775	0.011677175	-0.20439036	0.46465034	-0.3311082	6.01755	0.19815143	-0.23008894	0.18706517	1.4318373	0.40277478
q_0.78	0.011798486	-0.20421942	0.46477682	-0.33064386	6.0214521	0.19828493	-0.22978936	0.18766434	1.4333445	0.40330704
q_0.785	0.011812402	-0.20407746	0.46478792	-0.33061349	6.0236126	0.19854622	-0.22934269	0.18845631	1.4361848	0.40377915
