r__CN2.mgt  v__ALPHA_BF.gw  v__GW_DELAY.gw  v__GWQMN.gw  v__GW_REVAP.gw  v__ESCO.hru  v__CH_N2.rte  v__CH_K2.rte  v__ALPHA_BNK.rte  r__SOL_AWC(1).sol  r__SOL_K(1).sol  r__SOL_BD(1).sol  v__SFTMP.bsn       objfun
-5.200500e-002  2.101700e-001  2.415900e+002  1.118300e+000  1.938700e-002  8.607600e-001  2.237800e-001  4.109200e+001  7.507500e-001  -1.895600e-001  4.782300e-001  5.111600e-001  4.149000e+000  1.532500e+004  
1.314700e-001  8.116700e-001  4.812200e+001  1.504000e+000  1.070300e-001  8.923800e-001  6.400900e-002  1.273500e+002  8.880100e-001  3.600500e-001  4.141300e-001  -3.842300e-001  -4.330000e+000  1.223500e+005  
3.145200e-002  6.655800e-001  3.516800e+001  1.898500e+000  5.973300e-002  8.772300e-001  1.098600e-001  5.592700e+001  1.200100e-001  2.313300e-001  -3.429300e-001  1.754900e-001  3.988300e+000  1.982700e+004  
1.573300e-001  8.315900e-001  3.057400e+002  8.092800e-001  1.365700e-001  8.155800e-001  5.921700e-002  5.763000e+000  6.610100e-001  1.848600e-001  7.439300e-001  3.064100e-001  -9.630800e-001  2.769500e+005  
-1.740500e-001  2.253900e-001  4.338800e+002  6.671900e-001  1.185500e-001  8.149000e-001  2.505400e-001  5.782600e+001  5.584800e-001  1.000400e-001  -5.885000e-001  3.425500e-001  4.779000e+000  5.093400e+003  
-1.274900e-001  6.158200e-001  2.709100e+002  1.312800e+000  1.175900e-001  9.483500e-001  1.435400e-001  5.307200e+000  3.747000e-001  3.881900e-001  -5.623200e-001  -4.039900e-001  2.636200e+000  3.176000e+003  
1.442400e-001  6.829200e-001  3.410300e+002  6.376900e-001  1.521500e-001  8.695100e-001  2.656100e-001  2.960500e+001  1.104100e-001  -1.718400e-002  -2.571600e-001  -6.711800e-002  -3.443500e+000  1.287200e+005  
7.030700e-002  8.128900e-002  2.577600e+002  1.922200e-001  1.690500e-001  9.545600e-001  9.209200e-002  5.937700e+001  5.865300e-001  1.718500e-001  -1.311000e-001  7.039200e-002  3.175000e+000  4.794100e+004  
1.356400e-001  4.995400e-001  3.960300e+002  1.766500e+000  1.305500e-001  9.652500e-001  2.870300e-001  1.273700e+002  4.533400e-001  -6.567200e-002  4.842400e-001  7.619000e-002  3.201900e+000  1.202300e+005  
4.173100e-002  3.986700e-001  5.816000e+001  1.103300e+000  1.765800e-001  9.346800e-001  5.755600e-002  1.264900e+002  7.233200e-001  3.248900e-002  -1.815000e-001  9.952400e-002  -2.970400e+000  3.717600e+004  
6.339100e-002  5.610800e-001  4.645500e+001  6.360100e-001  7.643200e-002  9.871700e-001  2.074200e-001  7.119700e+001  1.986800e-001  -1.794200e-001  3.160200e-002  3.019300e-001  4.453500e+000  5.292200e+004  
1.973600e-001  7.055300e-001  1.335300e+002  4.250900e-001  1.386100e-001  8.770000e-001  9.104000e-002  1.115100e+002  1.340600e-001  4.317900e-002  -4.932100e-001  5.416500e-001  -3.685800e+000  2.904600e+005  
1.135300e-001  1.161000e-001  2.159300e+002  1.953700e+000  1.055000e-001  9.645900e-001  2.043300e-001  4.573200e+001  5.132100e-001  3.312100e-001  -1.197500e-001  5.322400e-001  -3.059300e+000  9.076100e+004  
2.748700e-002  9.831400e-001  5.671700e+001  1.605300e+000  1.841000e-001  8.753000e-001  6.524100e-002  1.622600e+001  6.265800e-001  -1.810000e-001  4.238100e-001  2.505800e-003  -1.093100e+000  3.919000e+004  
7.874500e-002  4.135100e-002  5.534200e+001  5.027100e-001  5.848900e-002  8.931900e-001  1.456300e-001  6.102600e+001  7.094900e-001  -1.553600e-001  -7.073600e-001  2.108200e-001  -4.774100e+000  5.954600e+004  
-3.447900e-002  4.332600e-001  1.222700e+002  8.547700e-001  5.562200e-002  8.866800e-001  9.496600e-002  4.310500e+001  2.152400e-001  1.027400e-002  -6.909100e-001  -2.075400e-001  4.341200e+000  1.394600e+004  
-1.488000e-001  1.584200e-001  1.866000e+002  3.932900e-001  1.989900e-001  9.136800e-001  1.313000e-001  5.383500e+001  4.346400e-001  2.508400e-002  6.738300e-001  1.925600e-001  -3.955700e+000  8.740200e+003  
1.744900e-001  4.419000e-001  4.400400e+002  1.178300e+000  1.445200e-001  9.685600e-001  5.266600e-002  9.050400e+001  2.110700e-001  3.159100e-001  -6.046000e-001  3.452800e-001  -4.152600e+000  2.911200e+005  
-1.848100e-001  2.261400e-001  2.308900e+002  2.498000e-001  6.975200e-002  9.499000e-001  2.439000e-001  4.393200e+001  5.226600e-002  -6.664200e-002  -7.995800e-001  -4.140700e-001  -1.522000e+000  4.910800e+003  
5.217000e-003  3.795100e-001  1.509100e+002  2.941500e-001  1.157300e-001  8.977800e-001  4.869400e-002  5.830500e+001  7.620400e-001  3.388800e-001  -6.621400e-001  -4.921700e-001  -5.505600e-001  2.918400e+004  
1.287000e-002  8.314700e-001  3.399300e+002  1.300900e+000  1.890800e-001  9.596000e-001  2.225100e-001  4.558700e+001  9.310700e-001  2.333800e-001  -1.544700e-001  -4.145900e-001  2.293400e+000  2.620600e+004  
-8.793000e-002  9.013200e-001  4.099000e+002  1.600900e+000  5.963900e-002  9.939200e-001  1.853500e-001  6.927800e+001  5.042800e-001  6.361600e-002  9.763200e-002  2.308600e-001  -4.173600e-001  1.045900e+004  
-1.868800e-001  8.924500e-001  3.314400e+002  1.785100e+000  1.630600e-001  8.391300e-001  1.356200e-001  3.923200e+001  2.699200e-001  -1.844400e-001  -7.608600e-001  -1.342200e-001  -2.431500e-001  2.667700e+003  
-1.028100e-001  9.852900e-001  2.167100e+002  8.952500e-001  1.873000e-002  9.205200e-001  6.623900e-002  6.821200e+001  8.436200e-001  -1.656900e-001  3.684000e-001  -1.247100e-001  -7.235300e-001  1.537100e+004  
-1.670400e-001  4.242500e-001  3.085500e+001  1.359500e+000  1.143800e-001  8.584000e-001  1.264900e-001  8.501900e+000  9.532300e-001  1.390700e-001  -2.114700e-001  -3.077000e-001  -2.931200e+000  4.206200e+003  
-2.170200e-002  2.896500e-001  2.374300e+002  4.835200e-001  2.168900e-002  9.968600e-001  2.643700e-001  8.265700e+001  4.071200e-001  -4.820600e-002  2.658000e-001  5.064000e-001  2.871700e+000  2.898400e+004  
-7.280000e-002  4.339900e-001  2.737000e+002  9.685700e-001  1.570300e-001  8.221700e-001  2.025800e-001  4.946600e+001  2.014200e-001  5.466900e-002  -5.398700e-001  4.466300e-001  1.443300e+000  7.799500e+003  
-1.367500e-002  9.097300e-001  1.844900e+002  7.590100e-001  1.097500e-001  9.813700e-001  5.179000e-002  9.257400e+001  2.735000e-001  2.142500e-001  1.386200e-001  4.583800e-001  2.027600e+000  2.840300e+004  
1.452900e-001  9.317100e-001  2.082500e+002  1.936300e-001  1.661700e-001  8.968200e-001  1.774400e-001  4.903800e+001  7.074400e-001  1.949000e-001  9.896100e-002  2.070300e-001  -2.922900e+000  1.667800e+005  
1.430200e-001  1.648300e-001  2.284700e+002  9.770900e-001  9.828600e-002  8.041200e-001  1.510100e-001  8.967800e+001  3.757100e-001  -1.406300e-001  5.327500e-001  2.205700e-001  -1.649600e+000  1.555200e+005  
-1.174200e-001  5.173700e-001  2.465800e+002  1.470500e+000  1.848000e-001  9.494600e-001  2.628100e-001  1.082500e+002  9.660000e-001  3.471800e-001  -6.506000e-001  5.321000e-001  -6.024200e-001  7.523100e+003  
-5.432500e-002  8.421400e-001  2.645100e+002  1.941000e+000  1.430700e-001  8.755200e-001  2.857700e-001  1.203100e+002  7.453100e-001  1.005000e-001  -6.996900e-001  -5.544600e-002  3.550000e+000  8.780000e+003  
1.777800e-001  5.883900e-001  3.422900e+002  1.545900e+000  2.078200e-002  9.794600e-001  1.821200e-001  1.098600e+002  7.350300e-001  4.322800e-002  -1.466800e-001  3.978700e-001  -2.803800e+000  3.449100e+005  
1.642100e-001  9.420200e-001  2.256600e+002  1.425600e+000  4.260800e-002  8.009000e-001  1.786800e-001  8.761700e+001  5.098500e-001  3.108000e-001  -4.202500e-001  -4.431300e-001  3.242300e+000  2.826000e+005  
-1.999700e-002  1.451600e-002  2.445800e+002  1.576100e+000  5.894400e-002  8.052600e-001  7.457500e-003  8.265200e+001  5.273400e-001  5.037800e-002  6.103700e-001  -2.516400e-001  3.521400e+000  1.500700e+004  
-1.611400e-001  4.327800e-001  4.107900e+002  7.400200e-002  6.743300e-002  9.009200e-001  3.444500e-002  1.179000e+002  9.589800e-001  -4.961600e-002  -5.672800e-001  3.163200e-001  2.053300e+000  9.453800e+003  
1.656400e-001  7.169600e-001  2.499500e+002  5.374100e-001  1.380600e-001  9.900800e-001  2.041900e-001  4.399000e+001  5.910600e-001  3.411700e-001  3.820300e-001  3.508000e-001  -7.293100e-001  3.510500e+005  
-3.646000e-002  9.714300e-001  4.323900e+002  5.986900e-002  1.343900e-001  8.687200e-001  2.928000e-001  7.724700e+000  9.456500e-001  1.696200e-001  5.576000e-001  -7.200500e-002  -2.362800e+000  1.598600e+004  
-1.857100e-001  8.717500e-001  3.091200e+002  9.988300e-001  9.986900e-002  9.394100e-001  2.690400e-001  3.214400e+001  9.317500e-001  8.882800e-002  1.067200e-001  -2.094800e-001  2.866700e+000  2.113500e+003  
7.804100e-002  5.438600e-001  7.602700e+001  1.983500e+000  1.624500e-001  8.564400e-001  7.764400e-002  7.764200e+001  4.171600e-002  -1.257400e-001  -6.133800e-001  2.828900e-001  3.948500e+000  2.305800e+004  
-1.076900e-001  7.267200e-001  4.076200e+002  3.681000e-001  1.845200e-001  8.822300e-001  1.484600e-001  6.009900e+001  1.876000e-001  1.226200e-001  -4.101900e-001  3.746700e-001  4.974700e+000  8.109100e+003  
1.305400e-001  7.094100e-003  3.010200e+001  9.127900e-001  1.408600e-001  9.439200e-001  5.038100e-003  8.462600e+001  4.899600e-001  9.874400e-004  -6.845600e-002  -4.621500e-001  3.627900e+000  1.264500e+005  
1.175900e-001  2.612800e-001  1.746100e+002  6.893200e-003  1.849800e-001  9.675100e-001  8.430500e-002  9.976100e+001  3.221600e-001  7.732700e-002  3.455600e-001  -4.928300e-001  1.532400e+000  1.028000e+005  
1.133400e-001  7.767300e-001  1.338200e+002  8.562900e-001  3.730700e-002  8.237300e-001  5.037200e-002  1.103800e+002  5.301900e-001  3.426700e-001  -5.881600e-001  2.016600e-001  2.236900e+000  8.028900e+004  
2.437100e-002  3.318600e-001  2.246700e+002  4.431700e-001  1.092100e-001  8.360200e-001  2.594700e-001  1.062800e+002  2.924900e-001  2.881600e-001  -7.557300e-001  -1.536900e-001  -2.103100e+000  2.638900e+004  
-5.409200e-002  3.724000e-001  2.413800e+002  7.483300e-001  1.283600e-001  8.404900e-001  6.992600e-003  4.947900e+001  1.568700e-001  -1.505700e-001  2.932400e-001  8.542400e-002  4.290200e+000  1.281800e+004  
-1.568300e-001  9.544400e-001  2.792300e+002  1.355000e+000  1.821300e-002  9.338300e-001  2.257200e-001  5.876000e+001  4.781900e-002  1.847800e-001  -6.662600e-001  3.074000e-001  3.164500e+000  3.142700e+003  
-1.143800e-001  3.351700e-001  1.191400e+002  2.438600e-002  2.863400e-002  8.032500e-001  1.686400e-001  6.517500e+001  6.297400e-001  2.384700e-001  2.195600e-001  -4.526500e-001  -4.957900e+000  6.813700e+003  
1.228500e-001  4.906000e-001  3.980300e+002  4.580200e-001  1.532200e-002  8.401300e-001  2.522900e-001  8.905700e+001  9.995000e-002  -1.845100e-001  -3.683100e-001  1.244300e-001  4.940200e-001  7.415300e+004  
