.	r__CN2.mgt	r__ALPHA_BF.gw	r__GW_DELAY.gw	r__CH_N2.rte	v__CH_K2.rte	r__SOL_AWC(1).sol	r__SOL_K(1).sol	r__SOL_BD(1).sol	v__SFTMP.bsn	v__SMTMP.bsn
q_0.73	-0.071224329	-0.25875835	0.48017779	-0.40042507	6.0628492	0.2122738	-0.23796107	0.17171421	1.0489681	0.40102791
q_0.735	-0.071224329	-0.25871319	0.48019823	-0.40029001	6.0628492	0.21232452	-0.23796107	0.17171421	1.049291	0.40102791
q_0.74	-0.071224329	-0.25866804	0.48021867	-0.40015494	6.0628492	0.21237523	-0.23796107	0.17171421	1.0496139	0.40102791
q_0.745	-0.071224329	-0.25862288	0.4802391	-0.40001987	6.0628492	0.21242595	-0.23796107	0.17171421	1.0499368	0.40102791
q_0.75	-0.071224329	-0.25857772	0.48025954	-0.3998848	6.0628492	0.21247667	-0.23796107	0.17171421	1.0502597	0.40102791
q_0.755	-0.071224329	-0.25853257	0.48027998	-0.39974973	6.0628492	0.21252738	-0.23796107	0.17171421	1.0505825	0.40102791
q_0.76	-0.071224329	-0.25848741	0.48030041	-0.39961466	6.0628492	0.2125781	-0.23796107	0.17171421	1.0509054	0.40102791
q_0.765	-0.071224329	-0.25844226	0.48032085	-0.39947959	6.0628492	0.21262882	-0.23796107	0.17171421	1.0512283	0.40102791
q_0.77	-0.071224329	-0.2583971	0.48034129	-0.39934453	6.0628492	0.21267954	-0.23796107	0.17171421	1.0515512	0.40102791
q_0.775	-0.071224329	-0.25835195	0.48036173	-0.39920946	6.0628492	0.21273025	-0.23796107	0.17171421	1.0518741	0.40102791
q_0.78	-0.071224329	-0.25832686	0.48040033	-0.39913442	6.0630942	0.21278493	-0.23794128	0.17172213	1.052226	0.40111842
q_0.785	-0.071224329	-0.25832686	0.48046165	-0.39913442	6.0636454	0.21284456	-0.23789677	0.17173995	1.052614	0.40132206
q_0.79	-0.071224329	-0.25832686	0.48052296	-0.39913442	6.0641966	0.21290418	-0.23785225	0.17175778	1.0530021	0.4015257
q_0.795	-0.071224329	-0.25832686	0.48058428	-0.39913442	6.0647479	0.21296381	-0.23780773	0.1717756	1.0533901	0.40172934
q_0.8	-0.071224329	-0.25832686	0.48064559	-0.39913442	6.0652991	0.21302343	-0.23776321	0.17179342	1.0537781	0.40193298
q_0.805	-0.071224329	-0.25832686	0.48070691	-0.39913442	6.0658503	0.21308306	-0.23771869	0.17181124	1.0541662	0.40213662
q_0.81	-0.071224329	-0.25832686	0.48076822	-0.39913442	6.0664015	0.21314269	-0.23767418	0.17182906	1.0545542	0.40234026
q_0.815	-0.071224329	-0.25832686	0.48082954	-0.39913442	6.0669527	0.21320231	-0.23762966	0.17184689	1.0549423	0.4025439
q_0.82	-0.071224329	-0.25832686	0.48089085	-0.39913442	6.067504	0.21326194	-0.23758514	0.17186471	1.0553303	0.40274754
q_0.825	-0.071224329	-0.25832686	0.48095217	-0.39913442	6.0680552	0.21332156	-0.23754062	0.17188253	1.0557184	0.40295118
q_0.83	-0.071224329	-0.25832686	0.48101348	-0.39913442	6.0686064	0.21338119	-0.2374961	0.17190035	1.0561064	0.40315482
q_0.835	-0.071224329	-0.25832686	0.4810748	-0.39913442	6.0691576	0.21344082	-0.23745159	0.17191818	1.0564944	0.40335847
q_0.84	-0.071224329	-0.25832686	0.48113611	-0.39913442	6.0697089	0.21350044	-0.23740707	0.171936	1.0568825	0.40356211
q_0.845	-0.071224329	-0.25832686	0.48119743	-0.39913442	6.0702601	0.21356007	-0.23736255	0.17195382	1.0572705	0.40376575
q_0.85	-0.071224329	-0.25832686	0.48125874	-0.39913442	6.0708113	0.21361969	-0.23731803	0.17197164	1.0576586	0.40396939
q_0.855	-0.071224329	-0.25832686	0.48132006	-0.39913442	6.0713625	0.21367932	-0.23727351	0.17198946	1.0580466	0.40417303
q_0.86	-0.071224329	-0.25832686	0.48138137	-0.39913442	6.0719138	0.21373894	-0.237229	0.17200729	1.0584347	0.40437667
q_0.865	-0.071224329	-0.25832686	0.48144269	-0.39913442	6.072465	0.21379857	-0.23718448	0.17202511	1.0588227	0.40458031
q_0.87	-0.071224329	-0.25832686	0.481504	-0.39913442	6.0730162	0.2138582	-0.23713996	0.17204293	1.0592108	0.40478395
q_0.875	-0.071224329	-0.25832686	0.48156532	-0.39913442	6.0735674	0.21391782	-0.23709544	0.17206075	1.0595988	0.40498759
q_0.88	-0.071224329	-0.25832686	0.48162664	-0.39913442	6.0741186	0.21397745	-0.23705092	0.17207858	1.0599868	0.40519123
q_0.885	-0.071224329	-0.25832686	0.48168795	-0.39913442	6.0746699	0.21403707	-0.23700641	0.1720964	1.0603749	0.40539487
q_0.89	-0.071224329	-0.25831347	0.48173564	-0.39911647	6.0753362	0.21408345	-0.2369297	0.17211026	1.0606767	0.40555621
q_0.895	-0.071224329	-0.25825324	0.48173564	-0.39903571	6.0764054	0.21408345	-0.23674034	0.17211026	1.0606767	0.4055695
q_0.9	-0.071224329	-0.25819301	0.48173564	-0.39895494	6.0774747	0.21408345	-0.23655097	0.17211026	1.0606767	0.40558279
q_0.905	-0.071224329	-0.25813277	0.48173564	-0.39887417	6.0785439	0.21408345	-0.23636161	0.17211026	1.0606767	0.40559607
q_0.91	-0.071224329	-0.25807254	0.48173564	-0.39879341	6.0796132	0.21408345	-0.23617225	0.17211026	1.0606767	0.40560936
q_0.915	-0.071224329	-0.2580123	0.48173564	-0.39871264	6.0806824	0.21408345	-0.23598289	0.17211026	1.0606767	0.40562265
q_0.92	-0.071224329	-0.25795207	0.48173564	-0.39863187	6.0817517	0.21408345	-0.23579352	0.17211026	1.0606767	0.40563593
q_0.925	-0.071224329	-0.25789183	0.48173564	-0.39855111	6.0828209	0.21408345	-0.23560416	0.17211026	1.0606767	0.40564922
q_0.93	-0.071224329	-0.2578316	0.48173564	-0.39847034	6.0838901	0.21408345	-0.2354148	0.17211026	1.0606767	0.40566251
q_0.935	-0.071224329	-0.25777136	0.48173564	-0.39838957	6.0849594	0.21408345	-0.23522544	0.17211026	1.0606767	0.40567579
q_0.94	-0.071224329	-0.25771113	0.48173564	-0.39830881	6.0860286	0.21408345	-0.23503607	0.17211026	1.0606767	0.40568908
q_0.945	-0.071224329	-0.25765089	0.48173564	-0.39822804	6.0870979	0.21408345	-0.23484671	0.17211026	1.0606767	0.40570237
q_0.95	-0.071224329	-0.25759066	0.48173564	-0.39814727	6.0881671	0.21408345	-0.23465735	0.17211026	1.0606767	0.40571565
